,state_code,state_name,county_code,county_name,aqi,state_code_int,county_code_int
1224,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,8.0,80,2
1225,13,Georgia,223,Paulding,3.0,13,223
1226,29,Missouri,189,Saint Louis,3.0,29,189
1227,25,Massachusetts,27,Worcester,6.0,25,27
1229,8,Colorado,31,Denver,6.0,8,31
1231,8,Colorado,123,Weld,7.0,8,123
1232,39,Ohio,49,Franklin,3.0,39,49
1235,39,Ohio,153,Summit,3.0,39,153
1237,4,Arizona,19,Pima,3.0,4,19
1239,35,New Mexico,1,Bernalillo,9.0,35,1
1240,51,Virginia,13,Arlington,2.0,51,13
1241,51,Virginia,13,Arlington,2.0,51,13
1242,22,Louisiana,33,East Baton Rouge,10.0,22,33
1244,51,Virginia,810,Virginia Beach City,3.0,51,810
1245,51,Virginia,810,Virginia Beach City,5.0,51,810
1248,4,Arizona,13,Maricopa,5.0,4,13
1250,26,Michigan,81,Kent,3.0,26,81
1251,32,Nevada,5,Douglas,0.0,32,5
1253,1,Alabama,73,Jefferson,20.0,1,73
1254,4,Arizona,13,Maricopa,16.0,4,13
1255,40,Oklahoma,143,Tulsa,7.0,40,143
1256,32,Nevada,31,Washoe,2.0,32,31
1258,13,Georgia,89,DeKalb,10.0,13,89
1259,34,New Jersey,39,Union,3.0,34,39
1260,51,Virginia,87,Henrico,3.0,51,87
1261,51,Virginia,510,Alexandria City,0.0,51,510
1262,51,Virginia,510,Alexandria City,3.0,51,510
1264,12,Florida,11,Broward,5.0,12,11
1265,32,Nevada,31,Washoe,2.0,32,31
1266,18,Indiana,3,Allen,5.0,18,3
1267,1,Alabama,73,Jefferson,8.0,1,73
1268,1,Alabama,73,Jefferson,7.0,1,73
1269,4,Arizona,13,Maricopa,17.0,4,13
1270,4,Arizona,13,Maricopa,28.0,4,13
1271,4,Arizona,19,Pima,6.0,4,19
1286,8,Colorado,41,El Paso,7.0,8,41
1287,8,Colorado,59,Jefferson,3.0,8,59
1288,8,Colorado,69,Larimer,10.0,8,69
1289,11,District Of Columbia,1,District of Columbia,22.0,11,1
1290,12,Florida,57,Hillsborough,13.0,12,57
1291,12,Florida,57,Hillsborough,3.0,12,57
1292,12,Florida,86,Miami-Dade,11.0,12,86
1293,12,Florida,86,Miami-Dade,7.0,12,86
1294,12,Florida,99,Palm Beach,14.0,12,99
1295,13,Georgia,121,Fulton,9.0,13,121
1296,18,Indiana,63,Hendricks,9.0,18,63
1297,18,Indiana,63,Hendricks,2.0,18,63
1298,19,Iowa,153,Polk,3.0,19,153
1299,24,Maryland,5,Baltimore,6.0,24,5
1300,27,Minnesota,37,Dakota,1.0,27,37
1301,27,Minnesota,137,Saint Louis,10.0,27,137
1302,29,Missouri,95,Jackson,9.0,29,95
1303,29,Missouri,189,Saint Louis,7.0,29,189
1304,29,Missouri,510,St. Louis City,16.0,29,510
1305,30,Montana,29,Flathead,13.0,30,29
1306,30,Montana,31,Gallatin,2.0,30,31
1307,31,Nebraska,109,Lancaster,11.0,31,109
1308,32,Nevada,3,Clark,7.0,32,3
1309,32,Nevada,3,Clark,3.0,32,3
1310,39,Ohio,49,Franklin,6.0,39,49
1311,39,Ohio,61,Hamilton,13.0,39,61
1320,49,Utah,35,Salt Lake,16.0,49,35
1321,49,Utah,35,Salt Lake,13.0,49,35
1322,51,Virginia,650,Hampton City,8.0,51,650
1323,51,Virginia,770,Roanoke City,10.0,51,770
1324,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,79.0,80,2
1325,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,18.0,80,2
1326,30,Montana,31,Gallatin,10.0,30,31
1327,17,Illinois,201,Winnebago,7.0,17,201
1328,80,Country Of Mexico,6,CHIHUAHUA STATE,23.0,80,6
1329,39,Ohio,49,Franklin,8.0,39,49
1330,25,Massachusetts,13,Hampden,6.0,25,13
